evnt_start_time_x,mtng_date,mtng_venue_location,evnt_number,mtng_name,sport_name,Racecourse,Meeting Date,ramp_id,evnt_start_time_y,country,commission,uk_commission,ie_commission,bf_uk_volume,bf_ie_volume,pp_uk_volume,pp_ie_volume,volume,_merge
,,,9,,Horse Racing,BALLARAT HARNESS,2022-06-23,9462475,2022-06-23 12:00:00,Australia,26.9305,25.977,0.9535,30.6186,4.4102,112.2116,16.6593,163.8997,right_only
,,,6,,Horse Racing,MILDURA HARNESS,2022-06-17,9443862,2022-06-17 10:33:00,Australia,51.6845,48.5766,3.1079,29.5075,0.0,34.8454,3.9723,68.3252,right_only
,,,7,,Horse Racing,MORPHETTVILLE,2022-06-11,9422352,2022-06-11 06:32:00,Australia,129.6808,78.8513,50.8295,77.6635,4.3934,32.7431,48.6138,163.4138,right_only
,,,10,,Horse Racing,BENDIGO HARNESS,2022-06-24,9465966,2022-06-24 12:30:00,Australia,69.6496,60.365,9.2846,29.018,0.0,221.2555,9.0379,259.3114,right_only
,,,4,,Horse Racing,WAGGA HARNESS,2022-06-28,9474841,2022-06-28 10:10:00,Australia,35.527,24.6374,10.8896,114.7974,0.0964,312.0152,41.289,468.198,right_only
,,,2,,Horse Racing,MOE,2022-06-23,9465609,2022-06-23 04:00:00,Australia,81.4108,75.1479,6.2629,20.3292,0.0,67.4014,93.4338,181.1644,right_only
,,,7,,Horse Racing,NEWCASTLE HARNESS,2022-06-10,9420134,2022-06-10 11:15:00,Australia,65.1925,57.3909,7.8016,52.7072,3.1232,196.8514,16.2243,268.9061,right_only
,,,8,,Horse Racing,KILMORE HARNESS,2022-06-30,9486925,2022-06-30 11:30:00,Australia,42.0335,39.9462,2.0873,60.8519,1.7207,149.4046,17.8522,229.8294,right_only
,,,2,,Horse Racing,BENDIGO HARNESS,2022-06-14,9426223,2022-06-14 08:30:00,Australia,35.8974,31.491,4.4064,21.1404,0.0,63.4261,22.3136,106.8801,right_only
,,,6,,Horse Racing,STRATHALBYN,2022-06-15,9439558,2022-06-15 07:10:00,Australia,73.1774,65.6642,7.5132,38.4813,0.0,31.6575,3.4357,73.5745,right_only
,,,7,,Horse Racing,MOUNT GAMBIER,2022-06-19,9449128,2022-06-19 07:42:00,Australia,25.4132,17.9621,7.4511,75.4317,0.0085,32.7433,0.1488,108.3323,right_only
,,,5,,Horse Racing,CANBERRA (HARNESS),2022-06-13,9427785,2022-06-13 11:17:00,Australia,22.6664,22.1612,0.5052,78.0668,4.5392,305.7035,70.3453,458.6548,right_only
,,,10,,Greyhound Racing,IPSWICH,2022-05-31,9385758,2022-05-31 09:04:00,Australia,51.4648,42.2157,9.2491,53.3375,0.0,144.6791,34.9025,232.9191,right_only
,,,1,,Horse Racing,MENANGLE HARNESS,2022-06-14,9427565,2022-06-14 04:21:00,Australia,14.0272,10.5058,3.5214,6.25,0.0,19.381,1.252,26.883,right_only
,,,1,,Horse Racing,HAWKESBURY,2022-05-31,9386108,2022-05-31 03:00:00,Australia,84.4488,83.9983,0.4505,55.9975,0.0,258.2863,53.6893,367.9731,right_only
,,,10,,Horse Racing,ADDINGTON (HARNESS),2022-06-17,9442858,2022-06-17 10:25:00,New Zealand,2.6019,2.6019,0.0,12.0475,0.2855,17.4513,1.6696,31.4539,right_only
,,,1,,Horse Racing,GEELONG,2022-06-05,9401694,2022-06-05 03:20:00,Australia,122.4563,75.3827,47.0736,15.0,0.1373,40.526,20.6832,76.3465,right_only
,,,4,,Horse Racing,ALBION PARK HARNESS,2022-06-09,9416770,2022-06-09 03:37:00,Australia,43.1815,36.7342,6.4473,123.7457,0.0,85.033,10.8832,219.6619,right_only
,,,1,,Horse Racing,ADDINGTON (HARNESS),2022-06-19,9443762,2022-06-19 01:50:00,New Zealand,7.4829,7.4829,0.0,21.1453,0.0,76.1231,25.1639,122.4323,right_only
,,,3,,Horse Racing,ALEXANDRA PARK (HARNESS),2022-06-30,9488101,2022-06-30 08:14:00,New Zealand,4.9379,4.9379,0.0,11.541,0.0,27.3898,44.8051,83.7359,right_only
,,,1,,Horse Racing,KILMORE HARNESS,2022-06-09,9415420,2022-06-09 07:52:00,Australia,50.1599,44.3062,5.8537,54.6279,0.0,66.8374,30.5185,151.9838,right_only
,,,8,,Greyhound Racing,TOWNSVILLE,2022-05-31,9385739,2022-05-31 12:51:00,Australia,22.133,19.0003,3.1327,0.0,0.0,16.5808,3.9159,20.4967,right_only
,,,5,,Horse Racing,BUNBURY HARNESS,2022-06-22,9464170,2022-06-22 05:28:00,Australia,13.6546,11.6567,1.9979,5.3228,0.0,42.4197,1.3819,49.1244,right_only
,,,3,,Horse Racing,ALBION PARK HARNESS,2022-06-18,9441362,2022-06-18 08:43:00,Australia,35.2085,20.6785,14.53,6.3526,0.1129,69.3751,4.3371,80.1777,right_only
,,,7,,Horse Racing,GLOUCESTER PARK HARNESS,2022-06-03,9395578,2022-06-03 13:22:00,Australia,113.7089,107.142,6.5669,22.8262,0.0,185.5113,5.4737,213.8112,right_only
,,,8,,Horse Racing,PINJARRA HARNESS,2022-06-20,9450760,2022-06-20 09:19:00,Australia,,,,14.1036,0.1638,82.9323,14.0641,111.2638,right_only
,,,11,,Horse Racing,ASCOT PARK (HARNESS),2022-06-18,9440857,2022-06-18 05:17:00,New Zealand,,,,0.0,0.0,6.1643,9.7762,15.9405,right_only
,,,10,,Horse Racing,GEELONG HARNESS,2022-06-29,9477502,2022-06-29 12:29:00,Australia,16.3481,15.9068,0.4413,67.0827,0.1233,143.8014,8.0435,219.0509,right_only
