ramp_id,sport_name,track,race_number,race_time,country,bf_uk_adj_revenue,bf_ie_adj_revenue,pp_uk_adj_revenue,pp_ie_adj_revenue,adj_revenue
9424748,Horse Racing,OHI,9,2022-06-09 10:55:00,Japan,-44.8779,0.0,51.1456,8.01,14.2777
9441282,Horse Racing,KANAZAWA,7,2022-06-14 07:10:00,Japan,1.6667,0.0,14.7967,8.3815,24.8449
9488770,Horse Racing,KASAMATSU,7,2022-06-28 06:10:00,Japan,1.9167,0.0,15.0738,4.3334,21.3239
9476069,Horse Racing,FUNABASHI,3,2022-06-24 07:40:00,Japan,2.625,0.8585,-70.1203,4.2149,-62.4219
9441302,Horse Racing,MIZUSAWA,5,2022-06-14 06:20:00,Japan,5.12,0.0,58.125,-0.1165,63.1285
9395794,Horse Racing,SONODA,3,2022-06-01 05:35:00,Japan,-25.2997,0.0,-17.1274,-0.6275,-43.0546
9400305,Horse Racing,URAWA,9,2022-06-02 08:35:00,Japan,26.7167,0.0,6.9499,12.9177,46.5843
9476076,Horse Racing,FUNABASHI,10,2022-06-24 11:35:00,Japan,11.6525,0.0,29.4229,15.287,56.3624
9463878,Horse Racing,KANAZAWA,8,2022-06-21 07:45:00,Japan,4.1594,0.0,5.1549,-6.7561,2.5582
9463875,Horse Racing,KANAZAWA,5,2022-06-21 05:55:00,Japan,-6.92,0.0,-39.3587,0.6383,-45.6404
9476093,Horse Racing,SONODA,11,2022-06-24 11:55:00,Japan,13.98,-0.4293,20.6676,28.5565,62.7748
9420343,Horse Racing,OHI,11,2022-06-08 12:10:00,Japan,12.42,0.0002,165.3822,37.0262,214.8286
9463918,Horse Racing,NAGOYA,8,2022-06-21 06:55:00,Japan,4.9367,0.0,-4.2924,17.6055,18.2498
9455066,Horse Racing,KOCHI,4,2022-06-18 08:40:00,Japan,-0.672,3.4352,9.2567,2.989,15.0089
9424751,Horse Racing,OHI,12,2022-06-09 12:50:00,Japan,5.1775,3.1299,9.2682,2.4226,19.9982
9496121,Horse Racing,URAWA,6,2022-06-30 06:45:00,Japan,2.9233,8.6036,13.6524,9.9286,35.1079
9467756,Horse Racing,SONODA,10,2022-06-22 07:25:00,Japan,13.2034,0.0,16.7724,10.9365,40.9123
9483124,Horse Racing,KANAZAWA,11,2022-06-26 10:05:00,Japan,1.0534,0.3096,-203.8116,5.5526,-196.896
9485694,Horse Racing,OHI,4,2022-06-27 08:10:00,Japan,-1.26,0.0,60.577,7.4826,66.7996
9411129,Horse Racing,MIZUSAWA,10,2022-06-05 09:00:00,Japan,1.7143,0.0,5.5334,2.0202,9.2679
9411131,Horse Racing,MIZUSAWA,12,2022-06-05 10:15:00,Japan,0.0,2.2313,30.3964,6.6856,39.3133
9427739,Horse Racing,NAGOYA,8,2022-06-10 06:50:00,Japan,5.61,0.0,-47.1384,2.1461,-39.3823
9463912,Horse Racing,NAGOYA,2,2022-06-21 03:25:00,Japan,21.6333,0.0,22.831,13.2156,57.6799
9395798,Horse Racing,SONODA,7,2022-06-01 07:35:00,Japan,-34.8,0.0,20.9234,4.282,-9.5946
